date,chair,regime,action,ff_target,emergency,spy_close,spy_pre5,spy_d0,spy_p1,spy_p2,spy_p3,spy_p5,spy_p10,tlt_close,tlt_pre5,tlt_d0,tlt_p1,tlt_p2,tlt_p3,tlt_p5,tlt_p10
2021-12-15,Powell,Easing,Hold,0.00-0.25,False,470.6,-1.051,1.562,-0.882,-2.28,-3.319,-0.618,1.181,149.25,-0.199,-0.962,-0.074,1.059,0.302,0.382,-0.905
2022-01-26,Powell,Easing,Hold,0.00-0.25,False,433.38,-4.824,-0.251,-0.494,1.977,3.814,5.531,5.575,140.5,1.513,-1.209,1.836,1.872,1.345,1.21,-1.473
2022-03-16,Powell,Tightening,Hike,0.25-0.50,False,435.62,2.383,2.217,1.251,2.043,2.013,1.878,5.298,132.82,-4.529,0.981,-0.745,0.467,-1.86,-0.994,-0.798
2022-05-04,Powell,Tightening,Hike,0.75-1.00,False,429.06,0.067,3.045,-3.554,-4.13,-7.199,-8.463,-8.67,118.62,-3.627,0.551,-2.74,-4.173,-3.33,-0.573,-1.45
2022-06-15,Powell,Tightening,Hike,1.50-1.75,False,379.2,-10.071,1.426,-3.31,-3.518,-1.089,-0.301,-0.514,110.84,-5.481,1.866,0.794,1.119,-0.595,2.977,3.636
2022-07-27,Powell,Tightening,Hike,2.25-2.50,False,401.04,-0.352,2.597,1.254,2.73,2.426,3.344,4.725,116.82,2.773,-0.562,0.796,0.522,2.756,2.166,0.257
2022-09-21,Powell,Tightening,Hike,3.00-3.25,False,377.39,-2.292,-1.744,-0.84,-2.501,-3.466,-1.818,-0.079,108.03,-1.319,1.675,-2.555,-2.157,-4.027,-3.425,-5.073
2022-11-02,Powell,Tightening,Hike,3.75-4.00,False,374.87,-0.104,-2.51,-1.03,0.395,1.355,-0.197,5.49,96.35,1.767,-0.434,-0.54,-2.211,-3.186,-1.806,5.241
2022-12-14,Powell,Tightening,Hike,4.25-4.50,False,399.4,2.067,-0.639,-2.446,-4.039,-4.852,-3.297,-3.996,108.16,0.701,0.427,0.148,-0.971,-2.635,-4.124,-6.916
2023-02-01,Powell,Tightening,Hike,4.50-4.75,False,410.8,1.569,1.063,1.456,0.377,-0.236,-0.037,0.774,108.18,-0.047,0.942,0.129,-1.368,-2.098,-2.422,-4.742
2023-03-22,Powell,Tightening,Hike,4.75-5.00,False,392.11,1.833,-1.705,0.27,0.928,1.117,2.356,3.95,106.4,0.874,1.333,0.0,0.423,-1.936,-1.955,1.739
2023-05-03,Powell,Tightening,Hike,5.00-5.25,False,408.02,1.172,-0.686,-0.708,1.13,1.157,1.184,1.767,106.29,-1.178,0.558,-0.988,-1.317,-2.7,-2.107,-3.49
2023-06-14,Powell,Tightening,Hold,5.00-5.25,False,437.18,2.016,0.119,1.24,0.522,0.0,-0.153,0.213,102.02,-1.162,0.8,0.961,0.569,1.264,0.284,-0.274
2023-07-26,Powell,Tightening,Hike,5.25-5.50,False,455.51,0.275,0.015,-0.663,0.31,0.501,-1.181,-2.143,101.27,-0.619,0.099,-1.945,-1.442,-1.205,-4.128,-4.029
2023-09-20,Powell,Tightening,Hold,5.25-5.50,False,438.64,-0.735,-0.919,-1.653,-1.874,-1.461,-2.87,-3.187,93.09,-1.518,0.313,-2.567,-1.783,-4.2,-5.027,-7.337
2023-11-01,Powell,Tightening,Hold,5.25-5.50,False,422.66,-1.282,1.066,1.916,2.846,3.083,3.452,6.393,85.1,-2.074,1.819,2.28,2.973,1.974,5.241,4.019
2023-12-13,Powell,Tightening,Hold,5.25-5.50,False,470.5,1.643,1.379,0.321,-0.249,0.312,-0.476,1.316,96.84,0.011,2.346,2.272,2.385,1.57,2.809,3.036
2024-01-31,Powell,Tightening,Hold,5.25-5.50,False,482.88,1.244,-1.632,1.309,2.375,2.003,3.152,3.249,96.66,1.938,0.982,1.635,-0.61,-2.617,-2.142,-3.973
2024-03-20,Powell,Tightening,Hold,5.25-5.50,False,520.48,-0.207,0.925,0.33,0.14,-0.136,0.517,-1.424,92.89,-2.066,-0.032,0.215,1.173,0.667,1.949,-0.226
2024-05-01,Powell,Tightening,Hold,5.25-5.50,False,500.35,-0.726,-0.325,0.935,2.186,3.242,3.366,5.882,88.56,-0.91,0.385,0.429,1.445,1.841,1.841,3.997
2024-06-12,Powell,Tightening,Hold,5.25-5.50,False,541.36,1.62,0.821,0.201,0.262,1.06,1.042,0.925,92.52,-0.906,0.751,1.47,2.324,1.308,1.556,1.081
2024-07-31,Powell,Tightening,Hold,5.25-5.50,False,550.81,-2.127,1.625,-1.416,-3.252,-6.069,-5.837,-1.282,94.81,1.438,1.023,0.527,3.66,4.208,1.16,3.249
2024-09-18,Powell,Easing,Cut,4.75-5.00,False,561.4,2.602,-0.297,1.706,1.22,1.473,1.539,1.329,99.59,0.149,-1.24,-0.331,-0.713,-0.924,-1.767,-1.938
2024-11-07,Powell,Easing,Cut,4.50-4.75,False,595.61,1.902,0.773,0.433,0.529,0.217,-0.379,-0.326,91.33,-2.275,1.253,1.27,0.777,-0.734,-1.106,-1.084
2024-12-18,Powell,Easing,Cut,4.25-4.50,False,586.28,0.247,-2.98,-0.031,0.831,1.434,2.569,0.967,89.16,-2.621,-1.633,-1.514,-0.953,-1.862,-1.503,-2.097
2025-01-29,Powell,Easing,Hold,4.25-4.50,False,601.81,0.244,-0.448,0.537,0.002,-0.671,0.4,0.258,88.01,0.25,-0.204,0.375,-0.284,0.17,2.136,-0.886
2025-03-19,Powell,Easing,Hold,4.25-4.50,False,567.13,0.917,1.089,-0.289,-0.555,1.225,0.257,-0.46,91.18,0.343,0.518,0.066,-0.526,-1.546,-2.204,0.274
2025-05-07,Powell,Easing,Hold,4.25-4.50,False,561.15,0.808,0.421,0.697,0.568,3.892,4.712,3.869,87.9,-2.96,0.423,-1.115,-0.967,-1.889,-2.935,-4.471
2025-06-18,Powell,Easing,Hold,4.25-4.50,False,597.44,-0.92,-0.015,-0.529,0.454,1.563,2.415,4.67,86.65,0.722,0.173,-0.185,0.138,0.866,1.5,0.369
2025-07-30,Powell,Easing,Hold,4.25-4.50,False,634.46,1.018,-0.126,-0.375,-2.008,-0.519,-0.265,1.644,86.87,0.925,-0.515,0.058,1.094,1.37,1.094,0.921
2025-09-17,Powell,Easing,Cut,4.00-4.25,False,659.18,1.487,-0.124,0.467,0.686,1.162,0.291,1.406,90.12,1.255,-0.255,-1.032,-1.221,-1.576,-1.265,-0.921
2025-10-29,Powell,Easing,Cut,3.75-4.00,False,687.39,2.349,0.048,-1.1,-0.775,-0.589,-1.427,-0.583,91.09,0.022,-1.011,-0.582,-0.878,-1.482,-2.338,-1.065
2025-12-10,Powell,Easing,Cut,3.50-3.75,False,687.57,0.222,0.663,0.233,-0.845,-0.995,-2.352,0.409,88.31,-0.946,0.386,-0.136,-1.098,-1.03,-0.578,-0.317
2026-01-28,Powell,Easing,Hold,3.50-3.75,False,695.42,2.643,-0.01,-0.198,-0.496,-0.001,-1.327,-0.498,87.6,1.327,-0.228,0.023,-0.537,-1.199,-1.21,0.525
2026-03-18,Powell,Easing,Hold,3.50-3.75,False,661.43,-0.944,-1.395,-0.246,-1.944,-0.915,-0.697,-0.936,86.96,-0.94,-0.56,0.609,-1.299,-0.655,-0.138,-0.805
2026-04-29,Powell,Easing,Hold,3.50-3.75,False,711.58,1.081,-0.015,0.995,1.275,0.904,3.127,4.319,85.7,-0.231,-0.776,-0.093,-0.105,-0.863,0.443,-1.05
2026-06-17,Warsh,Easing,Hold,3.50-3.75,False,740.96,1.802,-1.249,0.78,0.463,-0.996,-0.899,0.516,86.33,1.257,0.162,0.487,-0.278,-0.151,1.182,-0.95
2026-07-29,Warsh,Easing,Hold,3.50-3.75,False,729.46,-0.992,-1.539,1.677,2.409,3.867,5.529,5.899,82.85,0.693,-1.65,-0.06,-0.724,-0.797,0.181,-0.893
